window_idx,window_start,window_end,center_date,spectral_gap,entropy_production,mean_irreversibility,vamp2_score,leading_eigenvalue_mag,second_eigenvalue_mag,eig_mag_0,eig_mag_1,eig_mag_2,eig_mag_3,eig_mag_4
57,285,785,1995-03-21 00:00:00,0.39539985609545286,0.15499986708164215,1.307396650314331,0.18326115608215332,0.1384841650724411,0.1384841650724411,0.1384841650724411,0.1384841650724411,0.13730651140213013,0.013845954090356827,0.013845954090356827
58,290,790,1995-03-28 00:00:00,0.4003226335305576,0.2265336513519287,1.3124314546585083,0.1887170970439911,0.16508886218070984,0.13511714339256287,0.16508886218070984,0.13511714339256287,0.13511714339256287,0.04289644956588745,0.04289644956588745
59,295,795,1995-04-04 00:00:00,0.5507315234725342,0.21569615602493286,1.2515780925750732,0.16178660094738007,0.17303889989852905,0.06369446218013763,0.17303889989852905,0.06369446218013763,0.06369446218013763,0.013300412334501743,0.006066496483981609
60,300,800,1995-04-11 00:00:00,0.5106505049509801,0.19685962796211243,1.2282992601394653,0.16360881924629211,0.1708744913339615,0.07782811671495438,0.1708744913339615,0.07782811671495438,0.07782811671495438,0.025070402771234512,0.007229501847177744
61,305,805,1995-04-19 00:00:00,0.4838559195753951,0.20270077884197235,1.2156469821929932,0.15939776599407196,0.16654762625694275,0.08898569643497467,0.16654762625694275,0.08898569643497467,0.08898569643497467,0.02682293951511383,0.012592443265020847
62,310,810,1995-04-26 00:00:00,0.4779753949345332,0.2201138734817505,1.2205822467803955,0.16316086053848267,0.1763397604227066,0.09164095669984818,0.1763397604227066,0.09164095669984818,0.09164095669984818,0.04106205329298973,0.015231414698064327
63,315,815,1995-05-03 00:00:00,0.4735715549311335,0.21799473464488983,1.2210302352905273,0.16240337491035461,0.16463518142700195,0.093681201338768,0.16463518142700195,0.093681201338768,0.093681201338768,0.05613449588418007,0.01384780928492546
64,320,820,1995-05-10 00:00:00,0.4822173528094038,0.22237803041934967,1.2481809854507446,0.16522040963172913,0.16293244063854218,0.08971774578094482,0.16293244063854218,0.08971774578094482,0.08971774578094482,0.049751393496990204,0.02895020693540573
65,325,825,1995-05-17 00:00:00,0.4623519656495982,0.2204781472682953,1.2924995422363281,0.16933269798755646,0.16577543318271637,0.09908672422170639,0.16577543318271637,0.09908672422170639,0.09908672422170639,0.0522371269762516,0.019136544317007065
66,330,830,1995-05-24 00:00:00,0.4669387771969216,0.2312059998512268,1.2785061597824097,0.1706283688545227,0.16150686144828796,0.09684012830257416,0.16150686144828796,0.09684012830257416,0.09684012830257416,0.05370939150452614,0.019844191148877144
67,335,835,1995-06-01 00:00:00,0.4783447376156206,0.2180527150630951,1.2593008279800415,0.1659827083349228,0.1516881287097931,0.09147188067436218,0.1516881287097931,0.09147188067436218,0.09147188067436218,0.05680214613676071,0.008229782804846764
68,340,840,1995-06-08 00:00:00,0.47966350597520746,0.22003453969955444,1.2753710746765137,0.16543231904506683,0.14279872179031372,0.09087071567773819,0.14279872179031372,0.09087071567773819,0.09087071567773819,0.05976146087050438,0.011193383485078812
69,345,845,1995-06-15 00:00:00,0.5013167305151877,0.18929393589496613,1.2487578392028809,0.16128024458885193,0.14466992020606995,0.0815463587641716,0.14466992020606995,0.0815463587641716,0.0815463587641716,0.0635376125574112,0.01637556403875351
70,350,850,1995-06-22 00:00:00,0.481591994849014,0.28326407074928284,1.2292062044143677,0.14475251734256744,0.09479454904794693,0.08999870717525482,0.09479454904794693,0.08999870717525482,0.08999870717525482,0.047057297080755234,0.047057297080755234
71,355,855,1995-06-29 00:00:00,0.41959710453241844,0.28244346380233765,1.2261508703231812,0.15207725763320923,0.12270335853099823,0.12270335853099823,0.12270335853099823,0.12270335853099823,0.08147547394037247,0.06603693217039108,0.06603693217039108
72,360,860,1995-07-07 00:00:00,0.4209196183589084,0.27847206592559814,1.2068239450454712,0.1490672081708908,0.12189466506242752,0.12189466506242752,0.12189466506242752,0.12189466506242752,0.06418433785438538,0.05569078028202057,0.05569078028202057
73,365,865,1995-07-14 00:00:00,0.4151283081018747,0.280729740858078,1.2394036054611206,0.14427214860916138,0.1254758983850479,0.1254758983850479,0.1254758983850479,0.1254758983850479,0.05887824669480324,0.05887824669480324,0.036297302693128586
74,370,870,1995-07-21 00:00:00,0.39659758360036657,0.3526884913444519,1.3781954050064087,0.16337703168392181,0.1376573145389557,0.1376573145389557,0.1376573145389557,0.1376573145389557,0.10426753759384155,0.10426753759384155,0.015310515649616718
75,375,875,1995-07-28 00:00:00,0.44437282733285366,0.350158154964447,1.263272762298584,0.21106775104999542,0.16447864472866058,0.10840683430433273,0.16447864472866058,0.10840683430433273,0.10840683430433273,0.08271661400794983,0.08271661400794983
76,380,880,1995-08-04 00:00:00,0.45479953246345994,0.36776480078697205,1.2096673250198364,0.20346154272556305,0.1553446352481842,0.10289999842643738,0.1553446352481842,0.10289999842643738,0.10289999842643738,0.07232894748449326,0.07232894748449326
77,385,885,1995-08-11 00:00:00,0.4607845928606039,0.39385512471199036,1.1351032257080078,0.17432010173797607,0.17102515697479248,0.09986630827188492,0.17102515697479248,0.09986630827188492,0.09986630827188492,0.0627051293849945,0.0627051293849945
78,390,890,1995-08-18 00:00:00,0.49866125965957686,0.4099996089935303,1.1046574115753174,0.15974022448062897,0.16660670936107635,0.08263629674911499,0.16660670936107635,0.08263629674911499,0.08263629674911499,0.0628177747130394,0.0628177747130394
79,395,895,1995-08-25 00:00:00,0.4795208373376985,0.498948335647583,1.0995876789093018,0.1628052294254303,0.1636788547039032,0.09093555808067322,0.1636788547039032,0.09093555808067322,0.09093555808067322,0.05351317673921585,0.05351317673921585
80,400,900,1995-09-01 00:00:00,0.4595519447448547,0.4903377890586853,1.1036525964736938,0.16415898501873016,0.16039937734603882,0.10048370063304901,0.16039937734603882,0.10048370063304901,0.10048370063304901,0.05381934344768524,0.05381934344768524
81,405,905,1995-09-11 00:00:00,0.44223818792169967,0.5654494166374207,1.1230013370513916,0.16478754580020905,0.1379159837961197,0.10957007855176926,0.1379159837961197,0.10957007855176926,0.10957007855176926,0.05719820410013199,0.05719820410013199
82,410,910,1995-09-18 00:00:00,0.4099997948186435,0.7340596318244934,1.1358877420425415,0.18322859704494476,0.1767832487821579,0.1287350356578827,0.1767832487821579,0.1287350356578827,0.04996306821703911,0.048524513840675354,0.048524513840675354
83,415,915,1995-09-25 00:00:00,0.4720671126399423,0.6382542848587036,1.0935115814208984,0.1952187716960907,0.19286561012268066,0.09438854455947876,0.19286561012268066,0.09438854455947876,0.08016819506883621,0.03120752051472664,0.03120752051472664
84,420,920,1995-10-02 00:00:00,0.4780348043019579,0.6336529850959778,1.1034916639328003,0.194395050406456,0.1994456797838211,0.09161373972892761,0.1994456797838211,0.09161373972892761,0.05703721195459366,0.03539275750517845,0.03539275750517845
85,425,925,1995-10-09 00:00:00,0.4062925885971772,0.7245606780052185,1.0593205690383911,0.19279727339744568,0.1897696852684021,0.13114352524280548,0.1897696852684021,0.13114352524280548,0.008806935511529446,0.007850056514143944,0.007850056514143944
86,430,930,1995-10-16 00:00:00,0.49455587064503137,0.6168981790542603,1.0728315114974976,0.18973374366760254,0.19492927193641663,0.0843500941991806,0.19492927193641663,0.0843500941991806,0.04471677541732788,0.024481074884533882,0.024481074884533882
87,435,935,1995-10-23 00:00:00,0.5257508468678231,0.3732397258281708,1.0820715427398682,0.1855858862400055,0.191114142537117,0.07216831296682358,0.191114142537117,0.07216831296682358,0.07216831296682358,0.02843654714524746,0.027054546400904655
88,440,940,1995-10-30 00:00:00,0.5147046181925247,0.6060590744018555,1.0774211883544922,0.18924580514431,0.18993696570396423,0.07626637816429138,0.18993696570396423,0.07626637816429138,0.05674721300601959,0.05674721300601959,0.03241563215851784
89,445,945,1995-11-06 00:00:00,0.5083843707671966,0.4048505425453186,1.112166166305542,0.19766685366630554,0.1959816813468933,0.07871498167514801,0.1959816813468933,0.07871498167514801,0.07871498167514801,0.039161257445812225,0.0338863804936409
90,450,950,1995-11-13 00:00:00,0.514622268802866,0.3189644515514374,1.0970263481140137,0.19538642466068268,0.2140379548072815,0.07629778236150742,0.2140379548072815,0.07629778236150742,0.07629778236150742,0.03594725579023361,0.03473813459277153
91,455,955,1995-11-20 00:00:00,0.5008325194055943,0.2388085424900055,1.071410059928894,0.18713727593421936,0.21214675903320312,0.08174402266740799,0.21214675903320312,0.08174402266740799,0.08174402266740799,0.07478921115398407,0.008662276901304722
92,460,960,1995-11-28 00:00:00,0.45688114643802213,0.23158034682273865,1.1117278337478638,0.19543710350990295,0.21631194651126862,0.10183456540107727,0.21631194651126862,0.10183456540107727,0.10183456540107727,0.06335772573947906,0.008038319647312164
93,465,965,1995-12-05 00:00:00,0.44991933012937996,0.23258088529109955,1.1246051788330078,0.1974145919084549,0.22018766403198242,0.10544174909591675,0.22018766403198242,0.10544174909591675,0.10544174909591675,0.05895532667636871,0.000697492971085012
94,470,970,1995-12-12 00:00:00,0.44876086396228415,0.2245144098997116,1.129516363143921,0.1965821087360382,0.2190898358821869,0.10605427622795105,0.2190898358821869,0.10605427622795105,0.10605427622795105,0.058701422065496445,0.001039672875776887
95,475,975,1995-12-19 00:00:00,0.4265515240825638,0.23692166805267334,1.1954541206359863,0.1999194175004959,0.22626852989196777,0.11851004511117935,0.22626852989196777,0.11851004511117935,0.11851004511117935,0.05854363366961479,0.026006009429693222
96,480,980,1995-12-27 00:00:00,0.4305192637249104,0.24721485376358032,1.2388007640838623,0.21521909534931183,0.23559650778770447,0.1161821261048317,0.23559650778770447,0.1161821261048317,0.1161821261048317,0.05648273602128029,0.02502495050430298
97,485,985,1996-01-04 00:00:00,0.4008893100526091,0.2797314524650574,1.2947038412094116,0.23992863297462463,0.2416922152042389,0.1347348392009735,0.2416922152042389,0.1347348392009735,0.1347348392009735,0.06500939279794693,0.03042447194457054
